run_id,model_scale_id,condition_id,stage,p_code,budget_R,z_R,budget_V,z_V,budget_M,z_M,budget_W,z_W,budget_E,z_E
LARGE-C036,LARGE,C036,B_AXIAL,1,8,1.0,4,1.0,0,0.0,4,1.0,2,1.0
LARGE-C037,LARGE,C037,B_AXIAL,1,8,1.0,4,1.0,98304,2.0,4,1.0,2,1.0
LARGE-C038,LARGE,C038,B_AXIAL,1,8,1.0,4,1.0,32768,1.0,0,0.0,2,1.0
LARGE-C039,LARGE,C039,B_AXIAL,1,8,1.0,4,1.0,32768,1.0,12,2.0,2,1.0
LARGE-C040,LARGE,C040,B_AXIAL,1,8,1.0,4,1.0,32768,1.0,4,1.0,0,0.0
LARGE-C041,LARGE,C041,B_AXIAL,1,8,1.0,4,1.0,32768,1.0,4,1.0,6,2.0
LARGE-C042,LARGE,C042,B_CENTER_REPLICATE,1,8,1.0,4,1.0,32768,1.0,4,1.0,2,1.0
LARGE-C043,LARGE,C043,B_CENTER_REPLICATE,1,8,1.0,4,1.0,32768,1.0,4,1.0,2,1.0
LARGE-C044,LARGE,C044,B_CENTER_REPLICATE,1,8,1.0,4,1.0,32768,1.0,4,1.0,2,1.0
LARGE-C045,LARGE,C045,B_CENTER_REPLICATE,1,8,1.0,4,1.0,32768,1.0,4,1.0,2,1.0
LARGE-C046,LARGE,C046,B_CENTER_REPLICATE,1,8,1.0,4,1.0,32768,1.0,4,1.0,2,1.0
LARGE-C047,LARGE,C047,B_CENTER_REPLICATE,1,8,1.0,4,1.0,32768,1.0,4,1.0,2,1.0
LARGE-C048,LARGE,C048,B_ALL_OFF_REPLICATE,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
LARGE-C049,LARGE,C049,B_ALL_OFF_REPLICATE,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
LARGE-C050,LARGE,C050,B_ALL_OFF_REPLICATE,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
LARGE-C051,LARGE,C051,B_ALL_OFF_REPLICATE,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
LARGE-C052,LARGE,C052,B_ALL_HIGH_REPLICATE,1,24,2.0,12,2.0,98304,2.0,12,2.0,6,2.0
LARGE-C053,LARGE,C053,B_ALL_HIGH_REPLICATE,1,24,2.0,12,2.0,98304,2.0,12,2.0,6,2.0
LARGE-C054,LARGE,C054,B_ALL_HIGH_REPLICATE,1,24,2.0,12,2.0,98304,2.0,12,2.0,6,2.0
LARGE-C055,LARGE,C055,B_ALL_HIGH_REPLICATE,1,24,2.0,12,2.0,98304,2.0,12,2.0,6,2.0
